สวัสดีค่ะ อาจารย์คือหนูอยากปรึกษาอาจารย์ในเรื่องของการเลือกหัวข้อการทำโปรเจคค่ะ อยากให้อาจารย์ช่วยชี้เเนะเเนวทางว่าควรทำหัวข้อนี้ดีหรือไม่หรืออย่างไรค่ะ,homework
โครงงานวิชานี้จะเป็นการเอาข้อมูล พวกข้อความมาใช้ในการวิเคราะห์ เนื้อหาที่เรียนจะเป็นแนวการเอาข้อมูลมาแล้ว ทำการทำนายว่าข้อมูลที่มีจะเป็น postive หรือ nagative,homework
ถ้าเราได้เรียนในส่วนของ  ไปแล้วก็จะคล้ายๆ กับการเอาข้อมูลมาทำนายหาประเภทของดอกไม้ (iris) ครับ,homework
แต่ในส่วนที่จะทำโครงงานจะเอาข้อมูลประเภทข้อความซึ่งจะต้องมีการแปลงข้อมูลก่อนใช้งานครับ,homework
อาจารย์คะหนูสงสัยในส่วนของขอบเขตโครงงงานค่ะ​ คือต้องระบุรายละเอียดของการวิเคราะห์อย่างไรคะ​เเละระบุเเสดงให้เห็นถึงผลลัพธ์​อย่างไรคะ,homework
รายละเอียดการวิเคราะห์เช่น สกัดคุณลักษณะเฉพาะ (Text) จากข้อความ สร้างโมเดลเพื่อใช้ในการทำนาย เปรียบเทียบโมเดลการทำนายผล ระบุเเสดงให้เห็นถึงผลลัพธ์​ เช่นบอกว่าอยากสร้างโมเดลเพื่อใช้ทำนายผลการเป็นโรคโควิดจากข้อความ เพราะเป็นปัญหาที่สำคัญในปัจจุบัน,homework
อาจารย์คะ​ หนูมีข้อสอบถามค่ะ​ ,homework
การเก็บข้อมูลเราควรเก็บ​กี่วันดีคะ​ ยกตัวอย่างเช่น​  เก็บ​ 1อาทิตย์​ หรือเก็บ1เดือน​คะ​ ถึงจะเหมาะสม​ ,homework
สักอาทิตย์ก็น่าจะพอกับเวลาที่มีครับ แต่ในความจริงควรจะเก็บกระจายจะดีกว่าครับ,homework
การเก็บกระจายคือการเก็บเเบบย้อนหลังเหรอคะ หรือว่าอย่างไรคะ ,homework
เก็บช่วงเวลาเยอะๆ ให้ข้อมูลมีหลากหลายครับ ยกตัวอย่างเช่น เราอยากศึกษาพวกคำหยาบการเก็บข้อมูลที่ใช้เวลาเก็บเป็นเดือนๆขึ้นก็อาจจะได้ข้อมูลที่หลากหลายกว่า,homework
เพราะภาษามีการเปลี่ยนหรือมีคำใหม่เกิดขึ้นครับ,homework
ซึ่งเป็นเพียงแค่อาทิตย์นึงอาจจะไม่มีข้อความใหม่ๆ,homework
เเต่ถ้าเป็นเรื่องเกี่ยวกับการเก็บคำศัพท์เเบบล่วงละเมิดทางเพศเเบบนี้ เราสามารถเก็บ1-2เดือนย้อนหลังได้ไหมคะ ,homework
อาจารย์คะ​ ข้อสอบถามค่ะ​ คือถ้าเราค้นคำข้อมูลทั่วไป​ เช่น​ ใส่ตัวอักษรกอไก่​ เเบบนี้ค่ะ​ คือเราค้นหาเพื่อจะหาเพิ่มเติมจากคำที่เรากำหนดใช่ไหมคะ​ ว่าจะมีคำไหนมักจะพบในประโยคที่สื่อถึงการคุกคามบ้าง​ ,homework
ใช่ครับ เพื่อค้นหาข้อความอื่นๆ นอกเหนือจากทวีตที่เกี่ยวการคุกคาม,homework
แต่เราก็อาจจะต้องเช็คด้วยว่าที่เราค้นหามาไม่มีทวีตใดเกี่ยวข้องกับ การคุกคามจริงๆ,homework
อาจารย์คะหนูมีข้อสงสัยค่ะ  ถ้าหากว่าคำนี้ไม่ได้สื่อถึงการคุกคาม (+) เเต่เมื่อมันอยู่คูรกับคำที่สื่อถึงการคุกคาม(-) มันจะเป็นคำที่เป็น (-) ทันที เเบบนี้หนูก็เก็บข้อมูลลงในlist ว่าคำนี้คือ(-) เลยได้ไหมคะ ,homework
อาจารย์คะ  ถ้าหากในกรณีที่มีคำซ้ำเช่น คำว่าน่ารักอยู่ทั้ง positive และnegative เเบบนี้ควรทำอย่างไรคะ,homework
คำว่าน่ารักต้องอยู่คู่กับคำอื่นหรือเปล่าคับเลยทำให้เป็น pos neg,homework
เช่นบางทีคนอาจจะใช้คำว่าน่ารักในเชิงประชดอะไรแบบนั้นครับ,homework
อาจารย์คะ​ มีข้อสอบถามค่ะ​ ในกรณีที่ข้อมูลเท่ากันเเล้ว​ ในข้อความมีการเขียนภาษาวิบัติ​ หรือเขียนคำผิดเยอะ​ จะเป็นไปได้ไหมคะที่โมเดลออกมาจะไม่ถึง0.90,homework
อาจารย์คะ​ ในส่วนของ​machine learning​ ถ้าเราใช้โมเดลจำพวกโลจิสติ​ก​ หรือ​ svc เเทน​deep​ learning​ได้ไหมคะ,homework
ในโครงงานหรืออะไรนะครับ,homework
ในโปรเจคเลยค่ะ,homework
อาจารย์คะในส่วนของโปรเจค​ วันจันทร์นี้ต้องส่งอะไรบ้างคะ​,homework
เเล้วคลิปวิดีโอต้องทำด้วยใช่ไหมคะ,homework
ใช่ครับ ให้อธิบายงานของเราครับ,homework
ว่าทำอะไรผลเป็นอย่างไร,homework
อาจารย์คะมีข้อสอบถามค่ะ ในส่วนของbigrams ที่จะนำมาสร้างประโยคเขียนประมาณนี้ถูกต้องใช่ไหมคะอาจารย์ เเล้วมันจะรันนานถึง 1-3 ชั่วโมงเลยใช่ไหมคะ  ,homework
อาจารย์คะ มีข้อสงสัยในส่วนของการสร้างประโยค unigrams ค่ะในส่วนนี้จะเป็นประมาณนี้ไหมคะ ,homework
ส่วนนี้จะต้องกำหนดจำนวนคำไปเลยครับว่าจะให้สร่างประโยคกี่คำ,homework
เพราะ unigram จะไม่มี <s>  ทำให้เช็คแบบอันอื่นไม่ได้,homework
อาจารย์คะในส่วนตรงกำหนดจำนวนคำนี่คือ​ text=[10]​เเบบนี้ใช่ไหมคะ  ตรงwhile loopอะไรก็ไม่ต้องใส่​ใช่ไหมคะ,homework
ประมาณนี้รึเปล่าคะ,homework
ตรง for ใช้เป็น range ได้เลยครับ ว่าเราจะ random กี่ตัวแล้วใน for ก็ค่อย random เอา word มาครับ,homework
อาจารย์คะตอนรันหา perplexity ทำไมมันขึ้น inf คะ,homework
ไม่เเน่ใจว่ารูปเเบบนี้หรือป่าวค่ะ,homework
ลองแสดง lm.vocab ให้ดูหนอ่ยได้มั้ยครับ,homework
เหมือน model มันยัง train ไม่ได้ครับ,homework
ยังโชว์ error อยู่ทำไมมันใช้ perplexity ไม่ได้ครับ,homework
เเล้วการกำหนด train โมเดลต้องเขียนอย่างไรคะยังไม่เข้าในส่วนนี้จริงๆค่ะ ,homework
คล้ายกับการกำหนดตัว โมเดล svm ไหมคะ,homework
ต้องใช้พวกการตัด n-gram ต่างๆ ตามที่เราต้องการครับ,homework
แล้วก็กำหนด MLE ตามจำนวน ngram model ที่เราต้องการสร้างครับ,homework
ข้อมูลเราเป็นภาษาไทยหรือเปล่าครับ,homework
ลองเอาประโยคจากข้อมูลเราไปใส่ได้มั้ยครับ,homework
ใส่เป็นประโยคเลยใช่ไหมคะ ,homework
ประมาณนี้ใช่ไหมคะ,homework
เพื่อให้ได้ bigram ก่อนแล้วนะไปเข้าโมเดล,homework
ใช่ครับประมาณนี้,homework
เขียนไปเเล้วค่ะ เเต่ยังคงเป็น inf,homework
หรือลองใส่เเบบนี้รึเปล่าคะ,homework
เเสดงว่าเราต้องกำหนดเรนก่อนเเล้วค่อยมาทำเทสประมาณนี้ใช่ไหมคะ,homework
